"rides","end station name","end station latitude","end station longitude"
1498,"W 17 St & 8 Ave",40.74177603,-74.00149746
133,"Park Ave & St Edwards St",40.69608941,-73.97803415
430,"Lexington Ave & Classon Ave",40.68676793,-73.95928168
1609,"Barrow St & Hudson St",40.73172428,-74.00674436
1832,"MacDougal St & Prince St",40.72710258,-74.00297088
464,"Clinton St & Joralemon St",40.69239502,-73.99337909
638,"Nassau St & Navy St",40.69839895,-73.98068914
763,"Hudson St & Reade St",40.71625008,-74.0091059
1277,"E 2 St & Avenue C",40.7208736,-73.98085795
1759,"Cleveland Pl & Spring St",40.722103786686034,-73.99724900722504
606,"Henry St & Atlantic Ave",40.69089272,-73.99612349
1594,"LaGuardia Pl & W 3 St",40.72917025,-73.99810231
940,"E 47 St & 2 Ave",40.75323098,-73.97032517
1273,"E 39 St & 3 Ave",40.7489006,-73.97604882
741,"W 18 St & 6 Ave",40.73971301,-73.99456405
1426,"Broadway & W 49 St",40.76068327096592,-73.9845272898674
1079,"E 25 St & 1 Ave",40.7381765,-73.97738662
1166,"Liberty St & Broadway",40.70905623,-74.01043382
1196,"Front St & Washington St",40.70255088,-73.98940236
1137,"Wythe Ave & Metropolitan Ave",40.716887,-73.963198
2188,"1 Ave & E 18 St",40.733812191966315,-73.98054420948029
32,"Railroad Ave & Kay Ave",40.70531194,-73.97100056
2928,"Central Park S & 6 Ave",40.76590936,-73.97634151
3029,"Little West St & 1 Pl",40.70569254,-74.01677685
750,"Catherine St & Monroe St",40.71117444,-73.99682619
667,"Grand St & Greene St",40.72170005235607,-74.00238141417502
2362,"E 27 St & 1 Ave",40.739445,-73.976806
836,"E 43 St & 2 Ave",40.75022392,-73.97121414
1256,"W 45 St & 8 Ave",40.75929124,-73.98859651
748,"E 60 St & York Ave",40.759107,-73.959223
871,"W 16 St & The High Line",40.74334935,-74.00681753
535,"Columbia Heights & Cranberry St",40.70037867,-73.99548059
1893,"Old Fulton St",40.70277159,-73.99383605
1328,"W 13 St & 7 Ave",40.73781509,-73.99994661
1097,"Spruce St & Nassau St",40.71146364,-74.00552427
638,"E 48 St & 3 Ave",40.7546011026,-73.971878855
993,"Great Jones St",40.72743423,-73.99379025
